"Población por sexo e índice de masculinidad, superficie censada y densidad, según provincia. Total del país. Año 2010",,,,,,,
,,,,,,,
"Provincia","Población ",,,,,"Superficie censada            ","Densidad "
,"Total","Sexo",,,"Índice de masculinidad (1)",,
,,"Varones","Mujeres",,,,
,,,,,,"Km2","Hab/km2"
,,,,,,,
"Total",40.117.096,19.523.766,20.593.330,,"94,8"," 3.745.997(2)","10,7(3)"
" ",,,,,,,
"Ciudad Autónoma de Buenos Aires",2.890.151,1.329.681,1.560.470,,"85,2",200,"14.450,8"
"Buenos Aires",15.625.084,7.604.581,8.020.503,,"94,8",307.571,"50,8"
"   24 partidos del Gran Buenos Aires",9.916.715,4.816.344,5.100.371,,"94,4",3.680,"2.694,8"
"   Interior de la provincia de Buenos Aires",5.708.369,2.788.237,2.920.132,,"95,5",303.891,"18,8"
"Catamarca",367.828,182.309,185.519,,"98,3",102.602,"3,6"
"Chaco",1.055.259,519.950,535.309,,"97,1",99.633,"10,6"
"Chubut",509.108,254.649,254.459,,"100,1",224.686,"2,3"
"Córdoba",3.308.876,1.605.088,1.703.788,,"94,2",165.321,"20,0"
"Corrientes",992.595,485.075,507.520,,"95,6",88.199,"11,3"
"Entre Ríos",1.235.994,604.566,631.428,,"95,7",78.781,"15,7"
"Formosa",530.162,262.395,267.767,,"98,0",72.066,"7,4"
"Jujuy",673.307,329.990,343.317,,"96,1",53.219,"12,7"
"La Pampa",318.951,157.797,161.154,,"97,9",143.440,"2,2"
"La Rioja",333.642,165.127,168.515,,"98,0",89.680,"3,7"
"Mendoza",1.738.929,846.831,892.098,,"94,9",148.827,"11,7"
"Misiones",1.101.593,547.335,554.258,,"98,8",29.801,"37,0"
"Neuquén",551.266,273.608,277.658,,"98,5",94.078,"5,9"
"Río Negro",638.645,316.774,321.871,,"98,4",203.013,"3,1"
"Salta",1.214.441,597.153,617.288,,"96,7",155.488,"7,8"
"San Juan",681.055,333.228,347.827,,"95,8",89.651,"7,6"
"San Luis",432.310,213.407,218.903,,"97,5",76.748,"5,6"
"Santa Cruz",273.964,141.087,132.877,,"106,2",243.943,"1,1"
"Santa Fe",3.194.537,1.547.861,1.646.676,,"94,0",133.007,"24,0"
"Santiago del Estero",874.006,432.632,441.374,,"98,0",136.351,"6,4"
"Tierra del Fuego, Antártida e Islas del Atlántico Sur (4)",127.205,65.255,61.950,,"105,3",987.168,"0,1"
"Tucumán",1.448.188,707.387,740.801,,"95,5",22.524,"64,3"
,,,,,,,
"(1) Índice de masculinidad: cantidad de hombres por cada 100 mujeres.",,,,,,,
"(2) La superficie total del país es de 3.761.274 km2. A los fines del cálculo de densidad de población, se consideró la superficie correspondiente al Continente Americano: 2.780.400 km² (sin incluir las Islas Malvinas: 11.410 km2) y al Antártico: 965.597 km² (incluyendo las Islas Orcadas del Sur).  Tampoco se consideraron las islas australes (Georgias del Sur: 3.560 km² y Sandwich del Sur: 307 km²).",,,,,,,
,,,,,,,
,,,,,,,
"Las Islas Malvinas, Georgias del Sur, Sandwich del Sur y los espacios marítimos circundantes forman parte integrante del territorio nacional argentino. Debido a que dichos territorios se encuentran sometidos a la ocupación ilegal del REINO UNIDO DE GRAN BRETAÑA e IRLANDA DEL NORTE, la REPÚBLICA ARGENTINA se vio impedida de llevar a cabo el Censo 2010 en esa área. Por consiguiente, no se consideró la superficie correspondiente a esas islas.",,,,,,,
,,,,,,,
,,,,,,,
"(3) La densidad media es de 14,4 hab/km², excluyendo los departamentos de Antártida e Islas del Atlántico Sur.",,,,,,,
"(4) La densidad de población de la provincia de Tierra del Fuego, Antártida e Islas del Atlántico Sur no incluye la superficie de las Islas Malvinas, Georgias del Sur y Sandwich del Sur, por los motivos expresados en la llamada 2. Si se considera sólo la Isla Grande de Tierra del Fuego (departamentos Ushuaia y Río Grande), la superficie es de 21.571 km²  y la densidad es 5,9 hab/km². En el departamento Antártida Argentina (964.847 km²) se censaron 190 habitantes. En el departamento Islas del Atlántico Sur, que incluye las Islas Malvinas, Georgias del Sur, Sandwich del Sur e Islas Orcadas del Sur (750 km²), sólo se censó la Isla Laurie (17 habitantes), que pertenece a las Islas Orcadas del Sur.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
"Nota: se incluye a las personas viviendo en situación de calle.",,,,,,,
,,,,,,,
"Fuente: INDEC. Censo Nacional de Población, Hogares y Viviendas 2010. ",,,,,,,
"Instituto Geográfico Nacional (IGN). Dirección de Geografía.",,,,,,,
