annual,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dic,geojson,geom
7.485,7.07,6.592,6.781,7.185,7.101,6.854,7.662,7.386,8.276,8.663,8.363,7.898,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.788818359375,-25.0566596984861],[-66.1389770507813,-25.1359291076658],[-66.2249832153321,-24.8189392089842],[-65.8768005371094,-24.740430831909],[-65.788818359375,-25.0566596984861]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFF7B7250C0C4FFFF3F810E39C002000000E58850C0CAFFFF3FCC2239C002000020668E50C0CCFFFFFFA5D138C0020000801D7850C0D4FFFFDF8CBD38C0FEFFFFFF7B7250C0C4FFFF3F810E39C0
9.424,10.652,10.059,9.905,9.518,8.461,7.654,7.519,8.507,9.275,10.522,10.458,10.564,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.8424682617188,-25.2888507843016],[-67.1957397460938,-25.3624591827391],[-67.2756271362305,-25.0432891845701],[-66.9244079589844,-24.970390319824],[-66.8424682617188,-25.2888507843016]]]]}",0106000020E6100000010000000103000000010000000500000000000000EBB550C0CAFFFF1FF24939C00200000087CC50C0C6FFFF1FCA5C39C0000000E0A3D150C0C0FFFFFF140B39C00200008029BB50C0CEFFFF7F6BF838C000000000EBB550C0CAFFFF1FF24939C0
9.236,9.535,9.023,9.433,9.586,8.574,8.135,8.183,8.861,9.682,10.423,9.782,9.626,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.3099365234375,-24.5029602050779],[-66.6571731567383,-24.5788803100584],[-66.739143371582,-24.2631797790526],[-66.3938903808594,-24.1879806518553],[-66.3099365234375,-24.5029602050779]]]]}",0106000020E6100000010000000103000000010000000500000000000000D69350C0C6FFFFFFC18038C0000000200FAA50C0C8FFFF7F319438C0FEFFFF1F4EAF50C0D8FFFFBF5F4338C002000080359950C0CAFFFF7F1F3038C000000000D69350C0C6FFFFFFC18038C0
8.76,8.83,8.413,8.601,8.901,8.613,7.885,8.709,8.401,9.025,9.549,9.303,8.899,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.8789978027344,-23.4081096649168],[-66.2183837890625,-23.4854602813719],[-66.30126953125,-23.1742191314696],[-65.963752746582,-23.0976009368895],[-65.8789978027344,-23.4081096649168]]]]}",0106000020E6100000010000000103000000010000000500000002000080417850C0CAFFFFDF796837C000000000FA8D50C0CCFFFF1F477C37C002000000489350C0D6FFFF9F992C37C000000020AE7D50C0CCFFFF5FFC1837C002000080417850C0CAFFFFDF796837C0
8.555,9.315,8.679,8.5,8.533,8.082,7.467,7.959,7.686,8.517,9.245,9.479,9.205,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.7932434082031,-23.7196102142332],[-66.134521484375,-23.797710418701],[-66.2183837890625,-23.4854602813719],[-65.8789978027344,-23.4081096649168],[-65.7932434082031,-23.7196102142332]]]]}",0106000020E6100000010000000103000000010000000500000000000080C47250C0D2FFFF5F38B837C0FEFFFFFF9B8850C0C4FFFFBF36CC37C000000000FA8D50C0CCFFFF1F477C37C002000080417850C0CAFFFFDF796837C000000080C47250C0D2FFFF5F38B837C0
8.175,7.828,7.26,7.468,7.835,7.813,7.617,8.32,8.192,8.918,9.323,9.165,8.365,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.7064514160156,-24.0321102142332],[-66.0496520996093,-24.1109504699705],[-66.134521484375,-23.797710418701],[-65.7932434082031,-23.7196102142332],[-65.7064514160156,-24.0321102142332]]]]}",0106000020E6100000010000000103000000010000000500000000000080366D50C0CCFFFF5F380838C0FEFFFF7F2D8350C0D2FFFF3F671C38C0FEFFFFFF9B8850C0C4FFFFBF36CC37C000000080C47250C0D2FFFF5F38B837C000000080366D50C0CCFFFF5F380838C0
8.825,8.781,8.281,8.794,8.931,8.442,8.065,8.583,8.455,9.214,9.955,9.492,8.913,"{""type"":""MultiPolygon"",""coordinates"":[[[[-66.0496520996093,-24.1109504699705],[-66.3938903808594,-24.1879806518553],[-66.4768371582031,-23.8740005493162],[-66.134521484375,-23.797710418701],[-66.0496520996093,-24.1109504699705]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFF7F2D8350C0D2FFFF3F671C38C002000080359950C0CAFFFF7F1F3038C000000080849E50C0C2FFFF7FBEDF37C0FEFFFFFF9B8850C0C4FFFFBF36CC37C0FEFFFF7F2D8350C0D2FFFF3F671C38C0
7.772,7.334,6.883,7.188,7.394,7.49,7.245,7.908,7.837,8.512,8.936,8.541,8.006,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.6185913085937,-24.3455905914305],[-65.963752746582,-24.4251899719237],[-66.0496520996093,-24.1109504699705],[-65.7064514160156,-24.0321102142332],[-65.6185913085937,-24.3455905914305]]]]}",0106000020E61000000100000001030000000100000005000000FEFFFFFF966750C0CEFFFF9F785838C000000020AE7D50C0D2FFFF3FD96C38C0FEFFFF7F2D8350C0D2FFFF3F671C38C000000080366D50C0CCFFFF5F380838C0FEFFFFFF966750C0CEFFFF9F785838C0
8.841,8.699,8.329,8.898,9.114,8.397,8.03,8.433,8.615,9.392,9.89,9.405,8.895,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.963752746582,-24.4251899719237],[-66.3099365234375,-24.5029602050779],[-66.3938903808594,-24.1879806518553],[-66.0496520996093,-24.1109504699705],[-65.963752746582,-24.4251899719237]]]]}",0106000020E6100000010000000103000000010000000500000000000020AE7D50C0D2FFFF3FD96C38C000000000D69350C0C6FFFFFFC18038C002000080359950C0CAFFFF7F1F3038C0FEFFFF7F2D8350C0D2FFFF3F671C38C000000020AE7D50C0D2FFFF3FD96C38C0
6.032,5.761,5.377,5.316,5.171,5.608,5.727,6.565,6.527,6.759,6.96,6.797,5.822,"{""type"":""MultiPolygon"",""coordinates"":[[[[-65.5297164916992,-24.6600608825682],[-65.8768005371094,-24.740430831909],[-65.963752746582,-24.4251899719237],[-65.6185913085937,-24.3455905914305],[-65.5297164916992,-24.6600608825682]]]]}",0106000020E61000000100000001030000000100000005000000000000E0E66150C0CEFFFFBFF9A838C0020000801D7850C0D4FFFFDF8CBD38C000000020AE7D50C0D2FFFF3FD96C38C0FEFFFFFF966750C0CEFFFF9F785838C0000000E0E66150C0CEFFFFBFF9A838C0
